,type,id,lat,lon,access,addr:city,addr:country,addr:postcode,addr:street,amenity,authentication:membership_card,authentication:none,capacity,email,fee,motorcar,name,network,opening_hours,operator,parking:fee,phone,ref,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,website,addr:housenumber,note,socket:schuko,socket:schuko:voltage,wheelchair,level,socket:cee_blue,socket:cee_blue:current,socket:cee_blue:output,socket:cee_blue:voltage,socket:chademo,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:type2_combo,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,location,power,bicycle,socket:tesla_supercharger,socket:tesla_supercharger:output,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,socket:tesla_destination,socket:tesla_destination:output,old_name,addr:place,socket:schuko:output,description,note:en,authentication:app,alt_ref,socket:cee_red_16a,socket:cee_red_16a:output,website:stock,start_date,layer,image,construction:socket:chademo,construction:socket:type2_combo,official_name,ame
10,node,966120841,38.7325607,-9.4104739,yes,Alcabideche,PT,2645,Largo 5 de Outubro,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,CSC-00010,Mobi.E,24/7,Powerdot,no,+351 800 180 292,CSC-90010,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,node,966120850,41.8089297,-6.7602598,yes,Bragança,PT,5300-178,Avenida João da Cruz,charging_station,yes,no,4,ajuda@powerdot.pt,yes,yes,BGC-00001,Mobi.E,24/7,Powerdot,no,+351 800 180 292,BGC-90001,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,node,966120854,38.7648688,-9.0971345,yes,Lisboa,PT,1990-274,Rua do Pólo Sul,charging_station,yes,no,4,mobilidade.electricacrc@galp.com,yes,yes,LSB-00041,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LSB-90041,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,node,966120859,38.7004363,-9.4179572,yes,Cascais,PT,2750-340,Largo da Estação,charging_station,yes,no,6,apoio.cliente@kmlowcost.com,yes,yes,CSC-00003,Mobi.E,24/7,KLC,no,+351 800 296 929,CSC-90003,6,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,node,966120865,38.6880481,-9.3369155,yes,Carcavelos,PT,2775,Estação de Carcavelos,charging_station,yes,no,4,mobilidade.electricacrc@galp.com,yes,yes,CSC-00009,Mobi.E,24/7,Galp Power,no,+351 800 249 249,CSC-90009,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,node,966120869,40.6420435,-8.6564982,yes,Aveiro,PT,3800-246,Praça do Rossio,charging_station,yes,no,2,apoio.cliente@kmlowcost.com,yes,yes,AVR-00002,Mobi.E,24/7,KLC,no,+351 800 296 929,AVR-90002,2,32,7.4kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,node,966120882,38.7840616,-9.0982583,yes,Lisboa,PT,1990-156,,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,LRS-00023,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LRS-90023,2,32,22kW,400,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,node,966120896,41.6951547,-8.8198543,yes,Viana do Castelo,PT,4900,Edifício da Marina,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,VCT-00001,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,VCT-00001,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,node,966120933,39.2389296,-8.6866981,yes,Santarém,PT,2005-245,Praça do Município,charging_station,yes,no,2,apoio.cliente@kmlowcost.com,yes,yes,STR-00001,Mobi.E,24/7,KLC,no,+351 800 296 929,STR-90001,2,32,22kW,400,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,node,966120951,38.782951,-9.095145,yes,Loures,PT,1990-118,Rua da Ilha dos Amores,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,LRS-00027,Mobi.E,24/7,Powerdot,no,+351 800 180 292,LRS-90027,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,node,966120974,38.7544369,-9.0951176,yes,Lisboa,PT,1990,Rua das Musas,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,LSB-00043,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90043,2,32,22kW,400,https://www.mobie.pt/,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,node,2083900944,41.6955552,-8.8398528,yes,Viana do Castelo,PT,,Largo Cidade da Baía,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,VCT-00004,Mobi.E,24/7,Galp Power,no,+351 800 249 249,VCT-90004,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,node,2084661709,41.6932942,-8.8460784,yes,Viana do Castelo,PT,,Avenida do Atlântico,charging_station,yes,no,2,apoio.cliente@kmlowcost.com,yes,yes,VCT-00003,Mobi.E,24/7,KLC,no,+351 800 296 929,VCT-90003,2,32,7.4kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,node,2264276482,41.7049783,-8.8175321,yes,Viana do Castelo,PT,4900,Rua Aquilino Ribeiro,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,VCT-00005,Mobi.E,24/7,Galp Power,no,+351 800 249 249,VCT-90005,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,node,2731614409,41.6465085,-8.7015367,yes,,PT,,Rua Dr. José Garção Gomes,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,VCT-00008,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,VCT-00008,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,node,2893492870,39.7334231,-7.8755008,yes,,,,,charging_station,,yes,1,,no,,Ponto de Carga do Centro Ciência Viva da Floresta,none,,Centro Ciência Viva da Floresta,,+351274670220,,,,,,http://www.ccvfloresta.com/o-centro/servicos/130-ponto-de-carregamento-para-veiculos-eletricos,,"Ponto de carga gratuito equipado com uma ficha normal - tipo ""Schuko"".",1,230,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,node,3105753180,41.4386003,-8.2953346,yes,,PT,,,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,GMR-00005,Mobi.E,24/7,Powerdot,no,+351 800 180 292,GMR-90005,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,node,3171124810,40.6337069,-8.6562646,yes,,PT,,,charging_station,yes,no,4,apoio.cliente@kmlowcost.com,yes,yes,AVR-00001,Mobi.E,24/7,KLC,no,+351 800 296 929,AVR-90001,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,node,3171161357,40.6395565,-8.6519205,yes,Aveiro,PT,3800,Rua do Principe Perfeito,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,AVR-00003,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,AVR-00003,2,32,7.4kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,node,3171187226,40.6440403,-8.6415837,yes,Aveiro,PT,3800,Avenida Doutor Lourenço Peixinho,charging_station,yes,no,4,ajuda@powerdot.pt,yes,yes,AVR-00005,Mobi.E,24/7,Powerdot,no,+351 800 180 292,AVR-90005,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,node,3171192736,40.6390399,-8.6401469,yes,Aveiro,PT,3800,Avenida Adelino Amaro da Costa,charging_station,yes,no,4,apoio.cliente@kmlowcost.com,yes,yes,AVR-00006,Mobi.E,24/7,KLC,no,+351 800 296 929,AVR-90006,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,node,3341719224,41.1585977,-8.6317479,yes,,PT,,,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,PRT-00086,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,PRT-00086,2,32,7.4kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,node,3341719276,41.158897,-8.6440228,yes,,PT,,,charging_station,yes,no,4,apoio.cliente@kmlowcost.com,yes,yes,PRT-00080,Mobi.E,24/7,KLC,no,+351 800 296 929,PRT-90080,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,node,3341721516,41.1565023,-8.614087,yes,,PT,,,charging_station,yes,no,4,ajuda@powerdot.pt,yes,yes,PRT-00085,Mobi.E,24/7,Powerdot,no,+351 800 180 292,PRT-90085,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,node,3341729993,41.1423485,-8.6074511,yes,,PT,,,charging_station,yes,no,4,ajuda@powerdot.pt,yes,yes,PRT-00082,Mobi.E,24/7,Powerdot,yes,+351 800 180 292,PRT-90082,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,node,3341738003,41.1289487,-8.6676454,yes,,PT,,,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,VNG-00013,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,VNG-00013,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,node,3341738489,41.174083,-8.5668247,customers,,,,,charging_station,,yes,3,,no,,Parque Nascente,none,,Parque Nascente,,,,,,,,,,,,,,-1,3,16,3.7kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,node,3341752742,41.1371375,-8.6043228,yes,,PT,,,charging_station,yes,no,4,ajuda@powerdot.pt,yes,yes,VNG-00002,Mobi.E,24/7,Powerdot,no,+351 800 180 292,VNG-90002,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,node,3341779870,41.1206064,-8.6060266,yes,,PT,,,charging_station,yes,no,4,mobilidade-eletrica@edp.pt,yes,yes,VNG-00003,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,VNG-00003,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,node,3341780355,41.1291337,-8.6055841,yes,,PT,,,charging_station,yes,no,4,ajuda@powerdot.pt,yes,yes,VNG-00001,Mobi.E,24/7,Powerdot,no,+351 800 180 292,VNG-90001,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,node,3341796413,41.0184659,-8.6402617,yes,,PT,,,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,VNG-00014,Mobi.E,24/7,Galp Power,no,+351 800 249 249,VNG-90014,2,32,7.4kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,node,3341814907,41.1291083,-8.6207505,yes,,PT,,,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,VNG-00005,Mobi.E,24/7,Galp Power,no,+351 800 249 249,VNG-90005,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,node,3341815003,41.066074,-8.5751819,yes,,PT,,,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,VNG-00008,Mobi.E,24/7,Powerdot,no,+351 800 180 292,VNG-90008,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,node,3341816869,41.0941215,-8.550194,yes,,PT,,,charging_station,yes,no,2,,yes,yes,VNG-00010,Mobi.E,24/7,Galp Power,no,,VNG-90010,2,32,7.4kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,node,3341819588,41.1088621,-8.5738797,yes,Vilar de Andorinho,PT,,Rua de Baiza,charging_station,yes,no,1,electric@prioenergy.com,yes,yes,VNG-00034,Mobi.E,24/7,Prio.E,no,+351 800 450 111,VNG-00034,,,,,https://www.mobie.pt/,,,,,,,,,,,1,120,50kW,500,1,125,50kW,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,node,3341827359,41.129145,-8.614618,yes,,PT,,,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,VNG-00011,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,VNG-00011,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,node,3575234309,38.7096521,-9.1424348,yes,Lisboa,PT,1200-623,Rua António Maria Cardoso,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,LSB-00110,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90110,2,32,22kW,400,https://www.mobie.pt/,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,node,3575234314,38.6976639,-9.2263223,yes,,PT,,,charging_station,yes,no,6,mobilidade-eletrica@edp.pt,yes,yes,LSB-00501,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90501,6,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,node,3660912777,38.7813117,-9.1092551,yes,,PT,,,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,LRS-00030,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LRS-90030,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,node,3668899325,38.0146884,-7.8667966,yes,Beja,PT,,Avenida Miguel Fernandes,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,BJA-00002,Mobi.E,24/7,Galp Power,no,+351 800 249 249,BJA-90002,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,node,3697279494,38.729181,-9.1230863,yes,,PT,,,charging_station,yes,no,4,mobilidade.electricacrc@galp.com,yes,yes,LSB-00134,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LSB-90134,4,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,node,3697279495,38.6944796,-9.4229035,yes,,PT,,,charging_station,yes,no,2,apoio.cliente@kmlowcost.com,yes,yes,CSC-00002,Mobi.E,24/7,KLC,no,+351 800 296 929,CSC-90002,2,32,7.4kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,node,3697279497,38.6961124,-9.3740175,yes,,PT,,,charging_station,yes,no,2,,yes,yes,CSC-00006,Mobi.E,24/7,EDP Comercial,no,,CSC-90006,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,node,3697287975,38.7132549,-9.2855486,yes,Oeiras,PT,,Area de Serviço de Oeiras,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,OER-00001,Mobi.E,24/7,Galp Power,no,+351 800 249 249,OER-00001,,,,,https://www.mobie.pt/,,,,,,,,,,,1,120,50kW,500,1,125,50kW,500,1,63,43kW,400,,,,,,,,,,,,,,,,,,,,,,,,,,
54,node,3703042040,38.7379803,-9.1405295,yes,Lisboa,PT,1000-197,Avenida António José de Almeida,charging_station,yes,no,4,apoio.cliente@kmlowcost.com,yes,yes,LSB-00112,Mobi.E,24/7,KLC,no,+351 800 296 929,LSB-90112,4,16,3.7kW,230,https://www.mobie.pt/,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,node,3703042041,38.7416855,-9.1351257,yes,Lisboa,PT,1000-238,Avenida de Paris,charging_station,yes,no,2,apoio.cliente@kmlowcost.com,yes,yes,LSB-00124,Mobi.E,24/7,KLC,no,+351 800 296 929,LSB-90124,2,16,3.7kW,230,https://www.mobie.pt/,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,node,3703042042,38.7434409,-9.138283,yes,Lisboa,PT,1000-265,Avenida de Roma,charging_station,yes,no,2,apoio.cliente@kmlowcost.com,yes,yes,LSB-00116,Mobi.E,24/7,KLC,no,+351 800 296 929,LSB-90116,2,32,7.4kW,230,https://www.mobie.pt/,14D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,node,3703042045,38.7371435,-9.1278114,yes,Lisboa,PT,1900-090 Alto do Pina,Rua Coronel Ferreira do Amaral,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,LSB-00130,Mobi.E,24/7,Powerdot,no,+351 800 180 292,LSB-90130,2,16,3.7kW,230,https://www.mobie.pt/,25B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,node,3703042046,38.7524379,-9.1376443,yes,Lisboa,PT,1700-135,Avenida Rio de Janeiro,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,LSB-00118,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90118,2,16,3.7kW,230,https://www.mobie.pt/,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,node,3703042047,38.7582778,-9.1405358,yes,Lisboa,PT,1700,Avenida do Brasil,charging_station,yes,no,4,ajuda@powerdot.pt,yes,yes,LSB-00111,Mobi.E,24/7,Powerdot,no,+351 800 180 292,LSB-90111,4,16,3.7kW,230,https://www.mobie.pt/,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,node,3703042048,38.7592265,-9.1358803,yes,Lisboa,PT,1700-322,Rua Alferes Malheiro,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,LSB-00122,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90122,2,16,3.7kW,230,https://www.mobie.pt/,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,node,3703042049,38.7599648,-9.1300814,yes,,PT,,,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,LSB-00127,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LSB-90127,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,node,3703171656,38.7542979,-9.1088914,yes,Lisboa,PT,1950,Rua Doutor José Espírito Santo,charging_station,yes,no,2,ajuda@powerdot.pt,yes,yes,LSB-00145,Mobi.E,24/7,Powerdot,no,+351 800 180 292,LSB-90145,2,16,3.7kW,230,https://www.mobie.pt/,11E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,node,3703171657,38.7568104,-9.1152243,yes,Lisboa,PT,1950,Rua Conselheiro Emídio Navarro,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,LSB-00137,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90137,2,32,22kW,400,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,node,3703171658,38.7536451,-9.113744,yes,Lisboa,PT,1950-002,Avenida Doutor Augusto de Castro,charging_station,yes,no,2,mobilidade-eletrica@edp.pt,yes,yes,LSB-00140,Mobi.E,24/7,EDP Comercial,no,+351 800 222 222,LSB-90140,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,node,3703171659,38.7475172,-9.0975839,yes,Lisboa,PT,1950,Rua 3 da Matinha,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,LSB-00151,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LSB-90151,2,32,22kW,400,https://www.mobie.pt/,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,node,3703171660,38.745828,-9.1015777,yes,Lisboa,PT,,Rua do Vale Formoso,charging_station,yes,no,2,mobilidade.electricacrc@galp.com,yes,yes,LSB-00149,Mobi.E,24/7,Galp Power,no,+351 800 249 249,LSB-90149,2,16,3.7kW,230,https://www.mobie.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
